ID,Query
15020,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Breaking_Bad> . ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Game_of_Thrones> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Breaking_Bad> . ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Game_of_Thrones> . }""|"
15021,
15022,
15023,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> . ?uri <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> . ?uri <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> . }""|"
15024,
15025,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?uri }""|"
15026,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?uri }""|"
15027,
15028,
15029,
15030,
15031,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?v1. }|
15032,
15033,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Francis_Ford_Coppola> <http://dbpedia.org/ontology/director> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Francis_Ford_Coppola> <http://dbpedia.org/ontology/director> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|"
15034,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Shatner> <http://dbpedia.org/ontology/director> ?x. ?x <http://dbpedia.org/ontology/starring> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Shatner> <http://dbpedia.org/ontology/director> ?x. ?x <http://dbpedia.org/ontology/starring> ?uri  }""|"
15035,ASK WHERE { <http://dbpedia.org/resource/Hylidae> <http://dbpedia.org/ontology/class> <http://dbpedia.org/resource/Amphibian> }|
15036,
15037,
15038,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri }""|"
15039,
15040,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?uri }""|"
15041,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri }""|"
15042,
15043,
15044,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Maribor> <http://dbpedia.org/ontology/populationTotal> ?v1. }|
15045,
15046,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?uri }""|"
15047,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/GMT_Games> <http://dbpedia.org/ontology/publisher> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/GMT_Games> <http://dbpedia.org/ontology/publisher> ?uri }""|"
15048,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Intel> <http://dbpedia.org/ontology/foundedBy> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Intel> <http://dbpedia.org/ontology/foundedBy> ?uri }""|"
15049,
15050,
15051,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri }""|"
15052,
15053,
15054,
15055,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Secret_Intelligence_Service> . ?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/United_Kingdom> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Secret_Intelligence_Service> . ?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/United_Kingdom> . }""|"
15056,
15057,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri }""|"
15058,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/date> <http://dbpedia.org/resource/Cuban_missile_crisis> . ?uri <http://dbpedia.org/ontology/date> <http://dbpedia.org/resource/Bay_of_Pigs_Invasion> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/date> <http://dbpedia.org/resource/Cuban_missile_crisis> . ?uri <http://dbpedia.org/ontology/date> <http://dbpedia.org/resource/Bay_of_Pigs_Invasion> . }""|"
15059,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Japan> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Island>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Japan> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Island>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Japan> <http://dbpedia.org/ontology/country> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Island>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Japan> <http://dbpedia.org/ontology/country> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Island>}""|"
15060,
15061,
15062,
15063,
15064,
15065,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Apollo_14> <http://dbpedia.org/ontology/mission> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Apollo_14> <http://dbpedia.org/ontology/mission> ?uri }""|"
15066,
15067,
15068,
15069,
15070,
15071,ASK WHERE { <http://dbpedia.org/resource/Socrates> <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Aristotle> }|
15072,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denmark> <http://dbpedia.org/ontology/country> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denmark> <http://dbpedia.org/ontology/country> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|"
15073,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/NASA> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/NASA> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/NASA> <http://dbpedia.org/ontology/operator> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/NASA> <http://dbpedia.org/ontology/operator> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad>}""|"
15074,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri }""|"
15075,
15076,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Juan_Carlos_I_of_Spain> . ?x <http://dbpedia.org/ontology/parent> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Juan_Carlos_I_of_Spain> . ?x <http://dbpedia.org/ontology/parent> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Carlos_I_of_Spain> <http://dbpedia.org/ontology/spouse> ?x. ?x <http://dbpedia.org/ontology/parent> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Carlos_I_of_Spain> <http://dbpedia.org/ontology/spouse> ?x. ?x <http://dbpedia.org/ontology/parent> ?uri  }""|"
15077,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?v1. }|
15078,ASK WHERE { <http://dbpedia.org/resource/Nikola_Tesla> <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Nobel_Prize_in_Physics> }|
15079,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/isPartOf> <http://dbpedia.org/resource/New_Jersey> . ?x <http://dbpedia.org/ontology/populationTotal> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/isPartOf> <http://dbpedia.org/resource/New_Jersey> . ?x <http://dbpedia.org/ontology/populationTotal> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}""|"
15080,ASK WHERE { <http://dbpedia.org/resource/Tom_Hanks> <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Rita_Wilson> }|
15081,
15082,
15083,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?v1. }|
15084,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?uri }""|"
15085,
15086,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?uri }""|"
15087,
15088,ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Chemist> }|
15089,
15090,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum> ?uri }""|"
15091,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/William_Goldman> . ?x <http://dbpedia.org/ontology/numberOfPages> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/William_Goldman> . ?x <http://dbpedia.org/ontology/numberOfPages> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}""|"
15092,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}""|"
15093,
15094,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/elevation> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/elevation> ?uri }""|"
15095,
15096,"SELECT (COUNT(DISTINCT ?x) as ?c) WHERE { ?x <http://dbpedia.org/ontology/capital> <http://dbpedia.org/resource/Australia> . ?x <http://dbpedia.org/ontology/populationTotal> ?uri . }|""SELECT (COUNT(DISTINCT ?x) as ?c) WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/capital> ?x. ?x <http://dbpedia.org/ontology/populationTotal> ?uri  }""|"
15097,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?uri }""|"
15098,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Harold_and_Maude> <http://dbpedia.org/ontology/musicComposer> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Harold_and_Maude> <http://dbpedia.org/ontology/musicComposer> ?uri }""|"
15099,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> . }""|"
15100,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/restingPlace> <http://dbpedia.org/resource/Juliana_of_the_Netherlands> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/restingPlace> <http://dbpedia.org/resource/Juliana_of_the_Netherlands> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/ontology/restingPlace> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/ontology/restingPlace> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}""|"
15101,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Egypt> . ?uri <http://dbpedia.org/ontology/capital> <http://dbpedia.org/resource/Egypt> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Egypt> . ?uri <http://dbpedia.org/ontology/capital> <http://dbpedia.org/resource/Egypt> . }""|"
15102,
15103,
15104,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Bruce_Springsteen> . ?x <http://dbpedia.org/ontology/releaseDate> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>}|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Bruce_Springsteen> . ?x <http://dbpedia.org/ontology/releaseDate> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>}""|"
15105,
15106,
15107,
15108,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/musicalArtist> <http://dbpedia.org/resource/Ramones> . ?x <http://dbpedia.org/ontology/bSide> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/musicalArtist> <http://dbpedia.org/resource/Ramones> . ?x <http://dbpedia.org/ontology/bSide> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ramones> <http://dbpedia.org/ontology/musicalArtist> ?x. ?x <http://dbpedia.org/ontology/bSide> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ramones> <http://dbpedia.org/ontology/musicalArtist> ?x. ?x <http://dbpedia.org/ontology/bSide> ?uri  }""|"
15109,
15110,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Miffy> . ?x <http://dbpedia.org/ontology/nationality> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Miffy> . ?x <http://dbpedia.org/ontology/nationality> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Miffy> <http://dbpedia.org/ontology/creator> ?x. ?x <http://dbpedia.org/ontology/nationality> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Miffy> <http://dbpedia.org/ontology/creator> ?x. ?x <http://dbpedia.org/ontology/nationality> ?uri  }""|"
15111,
15112,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Charmed> . ?x <http://dbpedia.org/ontology/birthDate> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Charmed> . ?x <http://dbpedia.org/ontology/birthDate> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charmed> <http://dbpedia.org/ontology/starring> ?x. ?x <http://dbpedia.org/ontology/birthDate> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charmed> <http://dbpedia.org/ontology/starring> ?x. ?x <http://dbpedia.org/ontology/birthDate> ?uri  }""|"
15113,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/IBM> <http://dbpedia.org/ontology/numberOfEmployees> ?v1. }|
15114,
15115,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country> ?uri }""|"
15116,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Cleese> <http://dbpedia.org/ontology/creator> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Cleese> <http://dbpedia.org/ontology/creator> ?uri. ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}""|"
15117,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/elevation> <http://dbpedia.org/resource/Annapurna> . ?x <http://dbpedia.org/ontology/elevation> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain>}|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/elevation> <http://dbpedia.org/resource/Annapurna> . ?x <http://dbpedia.org/ontology/elevation> ?uri . ?x <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain>}""|"
15118,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Garry_Marshall> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Garry_Marshall> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}""|"
15119,
15120,ASK WHERE { <http://dbpedia.org/resource/Andrew_Jackson> <http://dbpedia.org/ontology/battle> ?v1. }|
15121,
15122,ASK WHERE { <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award> ?v1. }|
15123,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Robert_F._Kennedy> . ?x <http://dbpedia.org/ontology/spouse> ?uri . }|""SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Robert_F._Kennedy> . ?x <http://dbpedia.org/ontology/spouse> ?uri . }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?x. ?x <http://dbpedia.org/ontology/spouse> ?uri  }""|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?x. ?x <http://dbpedia.org/ontology/spouse> ?uri  }""|"
15124,
