"10026","Is Ombla originate in Croatia ?","5","3","2,0,1","0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0","1,0,0"
"10027","Was Ganymede discovered by Galileo Galilei ?","6","3","2,0,0","0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0","1,0,0"
"10028","Who is the producer of the song which is the previous work of He's a Liar ?","16","4","1,1,2","4,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0","0,0,1"
"10029","Who gave the voice for Allen Walker ?","7","2","1,0,1","1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0","0,0,1"
"10030","Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?","12","4","2,0,2","0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0","0,0,1"
"10031","Which country has given citizenship to both saima chowdhury and edmund john ?","12","4","2,0,2","1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0","0,0,1"
"10032","Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?","13","4","2,0,2","2,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0","0,0,1"
"10033","What university campuses are situated in Indiana ?","7","3","1,1,1","0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10034","Where is the swedish covenant hospital ?","6","2","1,0,1","1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1","0,0,1"
"10035","Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?","16","4","2,0,2","3,3,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10036","Name the members of  boards of Freedom of the City and Trinity House ?","13","4","2,0,2","2,3,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10037","Was Reza Amrollahi born in Iran ?","6","3","2,0,0","0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0","1,0,0"
"10038","In which war did Roh Tae Woo and Lee Leffingwell fight ?","11","4","2,0,2","0,1,0,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0","0,0,1"
"10039","What can be cooked out of things belonging to the order Sapindales ?","12","3","1,0,2","1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0","0,0,1"
"10040","How many  TV shows were made by someone who was associated with Lewis Hamilton ?","14","4","1,1,1","0,2,1,0,0,2,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1","0,1,0"
"10041","Name the alma mater of Michael hahn ?","7","2","1,0,1","1,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10042","How many party leaders are there whose parties are headquartered in Berlin ?","12","4","1,1,2","0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1","0,1,0"
"10043","How many total religions are followed by people whose hometown is somewhere in India ?","14","3","1,0,1","0,2,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1","0,1,0"
"10044","Did Gwo Ka originate in Western Africa ?","7","3","2,0,0","0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0","1,0,0"
"10045","Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?","16","3","1,0,1","2,2,2,0,0,3,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0","0,0,1"
"10046","Which country's leader is David Johnston ?","6","3","1,1,1","0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10047","How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?","16","4","1,1,1","0,2,1,0,0,0,2,5,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2","0,1,0"
"10048","Where was Antonio Giannini born ?","5","2","1,0,1","0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1","0,0,1"
"10049","Where was David Scherman trained ?","5","2","1,0,1","0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1","0,0,1"
"10050","What religions do politicians in the Korean Minjoo Party follow ?","10","4","1,1,2","1,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0","0,0,1"
"10051","Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?","18","3","1,0,2","3,3,1,0,0,3,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0","0,0,1"
"10052","What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?","14","4","1,1,2","2,2,1,0,0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0","0,0,1"
"10053","Where was Live in Detroit, MI recorded ?","7","2","1,0,1","0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1","0,0,1"
"10054","who all have been a manager of english under twenty one football team ?","13","2","1,0,0","2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0","0,0,1"
"10055","What awards have been won by the executive producer of Timmy Time ?","12","3","1,0,2","1,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0","0,0,1"
"10056","Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?","16","3","1,0,0","3,1,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0","0,1,0"
"10057","What are some families of mammals in the animal kingdom ?","10","4","1,1,2","2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0","0,0,1"
"10058","Count all the different purposes followed by the different NGOs. ?","10","3","1,0,0","2,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0","0,1,0"
"10059","How many things are crossed over by bridges which can carry cars ?","12","3","1,0,0","0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1","0,1,0"
"10060","Did Steve Sampson manage a club of Santa Clara university ?","10","3","2,0,1","1,1,0,0,0,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0","1,0,0"
"10061","List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?","15","4","1,1,2","3,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0","0,0,1"
"10062","In which time zone is Pong Pha ?","7","2","1,0,1","0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10063","What is the alma mater of the Angela Trusty and Charles Ayres ?","12","4","2,0,2","2,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10064","How many rivers start in an English speaking country ?","9","4","1,1,2","1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1","0,1,0"
"10065","Where are Aureus and Solidus used as currency ?","8","4","2,0,2","0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1","0,0,1"
"10066","Is the chestnut white bellied rat a mammal ?","8","3","2,0,1","2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0","1,0,0"
"10067","Was Tim Gunn a guest on The Broken Code ?","9","3","2,0,0","2,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10068","In how many nations can I find dishes made of Shallot ?","11","4","1,1,2","0,2,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1","0,0,1"
"10069","What system is both a platform where Nord runs and also distributed The beauty inside ?","15","4","2,0,2","2,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1","0,0,1"
"10070","Is Tirana the largest city of Albania ?","7","3","2,0,0","1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0"
"10071","what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?","16","4","2,0,2","2,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0","0,0,1"
"10072","Who were all the people in office when bob hawke was the PM ?","13","2","1,0,1","2,1,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1","0,0,1"
"10073","Which sports are played at institues in Taguig ?","8","4","1,1,2","0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10074","Raymond Johansen is the mayor of what city ?","8","2","1,0,1","1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10075","What is the nation of the speedway league where Ikaros Smederna played ?","12","4","1,1,2","2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1","0,0,1"
"10076","What are the kind of games one can play on windows ?","11","4","1,1,2","1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0","0,0,1"
"10077","Count the number of sports played by schools which play hockey ?","11","3","1,0,2","1,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0","0,1,0"
"10078","What is the common school of Chris Marve and Neria Douglass ?","11","4","2,0,2","1,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10079","What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?","12","4","2,0,2","0,3,1,0,0,2,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0","0,0,1"
"10080","Rivers from which countries flow into the Caspian ?","8","4","1,1,2","1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0","0,0,1"
"10081","Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?","19","5","2,1,2","1,1,1,0,0,4,0,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0","0,0,1"
"10082","what are some devices made by asus ?","7","3","1,1,1","1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0","0,0,1"
"10083","Count the number of people who graduated from universities affiliated with the NCAA. ?","13","4","1,1,1","2,3,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0","0,1,0"
"10084","Is Queen Latifah associated with Afrika Baby Bam ?","8","3","2,0,1","0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0","1,0,0"
"10085","Count all that was built by a company whose leader is Kazuo Hirai ?","13","3","1,0,1","3,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0","0,1,0"
"10086","What is the largest city in the country where the San Marcos River originates ?","14","4","1,1,2","3,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1","0,0,1"
"10087","Give a list of all the labels that have jazz fusion artists signed up with them ?","16","4","1,1,2","2,2,0,0,0,3,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0","0,0,1"
"10088","Name the major shrine of Bogumilus ?","6","2","1,0,1","1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10089","List the religion of people in the Cambodian human rights party ?","11","4","1,1,2","2,2,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10090","Count the wars in which people awarded with the Croix de guerre fought. ?","13","4","1,1,0","2,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0","0,1,0"
"10091","Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?","15","4","2,0,1","1,2,0,0,0,2,0,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10092","How many battles have involved commanders of 1st Free French Division ?","11","3","1,0,0","0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1","0,1,0"
"10093","Count the number of cities on the Mediterranean Sea ?","9","2","1,0,0","2,2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0"
"10094","Which researchers received fellowship from Royal Society ?","7","3","1,1,1","0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0","0,0,1"
"10095","what are some famous people out of the Filipinos ?","9","2","1,0,1","2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0","0,0,1"
"10096","To whom was Tessa Dahl born to ?","7","2","1,0,1","0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0","0,0,1"
"10097","Was Jack Ryan a nominee of US Senate ?","8","3","2,0,1","1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10098","Count the number of religions followed by the alumini of Ananda College. ?","12","3","1,0,2","2,3,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0","0,1,0"
"10099","What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?","17","5","2,1,2","1,1,1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0","0,0,1"
"10100","Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?","15","3","1,0,1","1,3,1,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0","0,0,1"
"10101","From how many coutries do companies come, which are headquartered in the Klang Valley ?","14","4","1,1,0","1,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1","0,0,1"
"10102","What are the border of High Desert (Oregon) ?","8","2","1,0,1","1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0","0,0,1"
"10103","What all is owned by a company one of whose division is Paramount Domestic Television ?","15","3","1,0,1","2,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0","0,0,1"
"10104","Which musical band produced the subsequent work of City of New Orleans ?","12","3","1,0,2","1,2,2,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0","0,0,1"
"10105","The authors of Zhorstoke nebo was influenced by whom ?","9","3","1,0,2","1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0","0,0,1"
"10106","Name the largest city in the county where there is a Cy-Fair High School. ?","14","3","1,0,2","3,1,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1","0,0,1"
"10107","Name the common associate band of Blayse and Teddy Riley ?","10","4","2,0,2","1,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10108","Who is the performer of album which has the song ""To Where You Are"" ?","14","3","1,0,2","2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1","0,0,1"
"10109","Does the merlin express have a hub at the cibano international airport ?","12","3","2,0,1","3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0","1,0,0"
"10110","How many people live in Wilton, Connecticut ?","7","2","1,0,0","0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1","0,1,0"
"10111","For how many different teams have Ontarians been drafted ?","9","3","1,0,1","0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1","0,0,1"
"10112","How many rivers are crossed by different Box Girder bridges ?","10","4","1,1,0","0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1","0,1,0"
"10113","What railway lines go through the stations maintained by Western Australian Public Transport Authority ?","14","4","1,1,2","1,2,1,0,0,1,2,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10114","What is the leader name of the settlements whose governing body is Municipal council ?","14","4","1,1,2","2,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0","0,0,1"
"10115","What is the major shrine of Jacques-Dsir Laval ?","8","2","1,0,1","1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10116","Count the number of actors in Lucy Sullivan Is Getting Married. ?","11","2","1,0,0","1,2,0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0","0,1,0"
"10117","To which series does the character of Londo Mollari belong ?","10","2","1,0,1","1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0","0,0,1"
"10118","Count all the scientologists. ?","4","2","1,0,1","1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0"
"10119","Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?","15","4","2,0,2","0,1,0,0,0,2,0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0","0,0,1"
"10120","How many genres of games can I find on the commodore CDTV ?","12","3","1,0,2","1,2,1,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1","0,1,0"
"10121","List the cast member of the movies whose producer is Mark Johnson. ?","12","4","1,1,2","2,1,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0","0,0,1"
"10122","In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?","15","4","1,1,2","1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2","0,0,1"
"10123","Who are the politicians whose death place is Ontario ?","9","3","1,1,1","1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0","0,0,1"
"10124","Does the US route 281 have a junction at San Antonio ?","11","3","2,0,0","2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0","1,0,0"
"10125","Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?","22","5","2,1,2","3,3,1,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0","0,0,1"
"10126","Give me a count of royalties buried in Rome ?","9","3","1,1,0","1,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0","0,0,1"
"10127","What is the route junction of Rhode Island Route 15 ?","10","2","1,0,1","1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10128","Which executive producer of the ultimate merger is also an important person at Trump Productions ?","15","4","2,0,2","2,2,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10129","Is KOMC-FM the sister station of KOMC (AM) ?","8","3","2,0,1","1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0"
"10130","Do the asiana airlines fly  to Jeju airport ?","8","3","2,0,1","1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","1,0,0"
"10131","Which awards are presented by Swedish Academy ?","7","3","1,1,1","0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10132","List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?","16","4","1,1,2","2,2,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0","0,0,1"
"10133","Which motion picture stories were edited by Ishir Honda ?","9","3","1,1,1","0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0","0,0,1"
"10134","Which rivers originate from Dowra ?","5","2","1,0,1","0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0","0,0,1"
"10135","How many TV shows have been created by Simon Fuller ?","10","3","1,1,0","0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1","0,1,0"
"10136","Did Henry Ford design the Model C ?","7","3","2,0,1","1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10137","How many people are known for Dragons' Den ?","8","2","1,0,1","0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1","0,1,0"
"10138","Greater Napanee is the home town of what people ?","9","3","1,1,1","1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10139","In which state is the Channel district ?","7","2","1,0,1","1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
"10140","Name the religious affiliation of Vagif Aliyev ?","7","2","1,0,1","1,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10141","Count the number of characters of the play whose one of the character is Catwoman ?","15","3","1,0,0","3,3,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0","0,1,0"
"10142","Is Bacillus belong to the domain Bacteria ?","7","3","2,0,0","1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0","1,0,0"
"10143","How many currencies are in used in places where people speak French ?","12","4","1,1,2","0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2","0,1,0"
"10144","What political party has governed both in Baraily,MP and Jowai ?","10","4","2,0,2","0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0","0,0,1"
"10145","Which officers fought in the war of Siege of Fort Recovery ?","11","3","1,1,1","1,3,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0","0,0,1"
"10146","How many writers speak a language belonging to the Germanic kind of languages ?","13","4","1,1,1","2,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1","0,1,0"
"10147","Was Duanne Allman known to play the Les Paul ?","9","3","2,0,0","1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0","1,0,0"
"10148","For which other teams do members of tanzanian national football team play ?","12","3","1,0,1","0,2,3,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0","0,0,1"
"10149","How many maintainers are there of the bridges that can carry motor vehicles over them ?","15","3","1,0,1","1,2,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1","0,1,0"
"10150","What is Jon Speelman famous for ?","6","2","1,0,1","0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10151","What city is the residence of Cheryl Teigs ?","8","2","1,0,1","1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0","0,0,1"
