"Questions","Who ","How ","In which ","What ","When ","Where ","Which "
"In which state is the Channel district ?","0","0","1","0","0","0","0"
"Name the religious affiliation of Vagif Aliyev ?","0","0","0","0","0","0","0"
"Count the number of characters of the play whose one of the character is Catwoman ?","0","0","0","0","0","0","0"
"Is Bacillus belong to the domain Bacteria ?","0","0","0","0","0","0","0"
"How many currencies are in used in places where people speak French ?","0","1","0","0","0","0","0"
"What political party has governed both in Baraily,MP and Jowai ?","0","0","0","1","0","0","0"
"Which officers fought in the war of Siege of Fort Recovery ?","0","0","0","0","0","0","1"
"How many writers speak a language belonging to the Germanic kind of languages ?","0","1","0","0","0","0","0"
"Was Duanne Allman known to play the Les Paul ?","0","0","0","0","0","0","0"
"For which other teams do members of tanzanian national football team play ?","0","0","0","0","0","0","0"
"How many maintainers are there of the bridges that can carry motor vehicles over them ?","0","1","0","0","0","0","0"
"What is Jon Speelman famous for ?","0","0","0","1","0","0","0"
"What city is the residence of Cheryl Teigs ?","0","0","0","1","0","0","0"
"Give me a count of everything under the archipelago, where Papeete is the biggest town. ?","0","0","0","0","0","0","0"
"Name the nearest city to  Lake Victoria ?","0","0","0","0","0","0","0"
"Was A foreign policy on freedom covered by John Trumbull ?","0","0","0","0","0","0","0"
"Eric roth wrote how many screenplays ?","0","0","0","0","0","0","0"
"How many have been awarded by the Royal Society ?","0","1","0","0","0","0","0"
"Who are the opponents of Gervase Helwys ?","1","0","0","0","0","0","0"
"With whom is Heinz Kokott a relative to who also served Nazi Army ?","0","0","0","0","0","0","0"
"Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?","0","0","0","0","0","0","1"
"Which television show's network  is BBC HD and is related to Doctor Who Confidential ?","0","0","0","0","0","0","1"
"What is the life stance of the ethnic groups related to Micronesia ?","0","0","0","1","0","0","0"
"What is the magazine which have been  founded by Ralph J. Gleason ?","0","0","0","1","0","0","0"
"Which river ends at  Thames Estuary and North Sea ?","0","0","0","0","0","0","1"
"Count the number of sports team members  which have player named Matt Williams ?","0","0","0","0","0","0","0"
"How many other awards have been given to people who have won the Golden Globe ?","0","1","0","0","0","0","0"
"Does Mr. Jim's Pizza operate in the pizza industry ?","0","0","0","0","0","0","0"
"How many other field are there of the scientists whose one of the field is Mathematics ?","0","1","0","0","0","0","0"
"Who had  Joe Purcell and Winston Bryant as lieutenants ?","1","0","0","0","0","0","0"
"Did stan lee narrate the incredible hulk tv show ?","0","0","0","0","0","0","0"
"How many sports are played in organizations presided by Emanuel de Guzman ?","0","1","0","0","0","0","0"
"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov ?","0","0","0","1","0","0","0"
"How many different genres of games are produced by Blizzard ?","0","1","0","0","0","0","0"
"Name the river flowing through Reading and source place as Gloucestershire ?","0","0","0","0","0","0","0"
"Who was in conflicts of Fort Barrancas and Gadsden ?","1","0","0","0","0","0","0"
"What are some cars which came before the ones on a GM B base ?","0","0","0","1","0","0","0"
"Name few companies founded in Texas ?","0","0","0","0","0","0","0"
"Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?","0","0","0","0","0","0","0"
"Name all those whose spouses have performed with Tony Bennett ?","0","0","0","0","0","0","0"
"What are the books written by the the person who made the Novelas ejemplares ?","0","0","0","1","0","0","0"
"Whos a famous relative of anne spielberg ?","0","0","0","0","0","0","0"
"Name the TV show whose network is NBC and is the subsequent work of Fraiser ?","0","0","0","0","0","0","0"
"Does chicago own the washington station on the CTA Blue Line ?","0","0","0","0","0","0","0"
"Give the distinct number of other party of the people which have one of the party as Janata Party ?","0","0","0","0","0","0","0"
"Count the units garrisoned at Arlington County, Virginia. ?","0","0","0","0","0","0","0"
"List all the co-founders of the non for profit which have founding member as David pressman ?","0","0","0","0","0","0","0"
"how many companies are located in a spanish speaking region ?","0","0","0","0","0","0","0"
"What are some US citizens famous for ?","0","0","0","1","0","0","0"
"Which genre of books are published by Random House ?","0","0","0","0","0","0","1"
"How many golf players are there in Arizona State Sun Devils ?","0","1","0","0","0","0","0"
"Which rivers start in Wyoming ?","0","0","0","0","0","0","1"
"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea ?","0","0","0","1","0","0","0"
"The Prime minister who worked in the Khmer Issarak follows which religion ?","0","0","0","0","0","0","0"
"Who coached the marquet golden eagels during 2013 ?","1","0","0","0","0","0","0"
"Is Tea the main ingredient of Lahpet ?","0","0","0","0","0","0","0"
"Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?","0","0","0","0","0","0","1"
"How many destinations are covered by the airlines which also serves Europe ?","0","1","0","0","0","0","0"
"How many famous people are born in Long Island ?","0","1","0","0","0","0","0"
"List the newspapers whose offices are situated in 1211 Avenue of the Americas ?","0","0","0","0","0","0","0"
"What are the movies whose cinematographer is Gregg Toland ?","0","0","0","1","0","0","0"
"Who is the person who are on the board of Freedom of the City ?","1","0","0","0","0","0","0"
"Name the sitcoms whose network's owning company is Chris-Craft Industries ?","0","0","0","0","0","0","0"
"How many developers have games where I can hear Lightning McQueen ?","0","1","0","0","0","0","0"
"List the ingredient of Blodpalt ?","0","0","0","0","0","0","0"
"Does Caroline Augusta Foley Rhys Davids study Buddhism ?","0","0","0","0","0","0","0"
"Who is the performer of Bengali in Platforms ?","1","0","0","0","0","0","0"
"In how many other states do people live, whose languages are spoken in Nebraska ?","0","0","0","0","0","0","0"
"What are some fictional characters whose voice is in the peanuts movie ?","0","0","0","1","0","0","0"
"What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905 ?","0","0","0","1","0","0","0"
"In how many places have Irishmen died ?","0","0","0","0","0","0","0"
"List the stadium of the teams which uses Nea Smyrni  as one of the stadium ?","0","0","0","0","0","0","0"
"How many companies are located in Toronto ?","0","1","0","0","0","0","0"
"Who is a successor of Kingship whose parents were Julius Caesar ?","1","0","0","0","0","0","0"
"Who wrote the musical based on Mary Poppins ?","1","0","0","0","0","0","0"
"How many people have voiced characters sculpted by Clamp ?","0","1","0","0","0","0","0"
"What team has  players  born in Dominican Republic ?","0","0","0","1","0","0","0"
"Was Derg the anthem of Ethopia ?","0","0","0","0","0","0","0"
"What cities does the river goes through, whose tributary is the little black river in Arkansas ?","0","0","0","1","0","0","0"
"How many other characters are there of the plays which has a  characters name Joker (comics) ?","0","1","0","0","0","0","0"
"For how many other teams have the former players of Boston Bruins played ?","0","0","0","0","0","0","0"
"Count the different origins of members of the Vitis Vinifera species. ?","0","0","0","0","0","0","0"
"Who is the author of Karakuri Dji Ultimo ?","1","0","0","0","0","0","0"
"Was the  2d Command and Control Squadron barracked in Colorado ?","0","0","0","0","0","0","0"
"Who is the founder of Hohenau, Paraguay ?","1","0","0","0","0","0","0"
"List the show related to the which was followed by Doctor Who Extra ?","0","0","0","0","0","0","0"
"Count the number teams which have  former ice hockey players which also included American Hockey League ?","0","0","0","0","0","0","0"
"Members of how many political parties have died in Delhi ?","0","0","0","0","0","0","0"
"To how many places does the airlines fly, whose head office is located at the Gatwick Airport ?","0","0","0","0","0","0","0"
"Which political figures were awarded Screen Actors Guild Life Achievement Award ?","0","0","0","0","0","0","1"
"Where do current famous NatGeo photographers live ?","0","0","0","0","0","1","0"
"How many awards have been given to Italians ?","0","1","0","0","0","0","0"
"How many different layouts do cars designed by Oliver Boulay have ?","0","1","0","0","0","0","0"
"Is Hyundai Lavita assembled in Malaysia ?","0","0","0","0","0","0","0"
"How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James ?","0","1","0","0","0","0","0"
"List the shrines of the saint whose one of the shrine is Ponza ?","0","0","0","0","0","0","0"
"Who died due to Morphine ?","1","0","0","0","0","0","0"
"How many mammals are in the Chordate phylum ?","0","1","0","0","0","0","0"
"How many people were opponents of the ones buried in the tower of London ?","0","1","0","0","0","0","0"
"Name the common university of the Cardinal and Jim Wylie ?","0","0","0","0","0","0","0"
"Name the species of Southwest African lion ?","0","0","0","0","0","0","0"
"From how many different institutes have the members of Judge Advocate General's Corps graduated ?","0","0","0","0","0","0","0"
"In how many different places have ehtics philosophers died ?","0","0","0","0","0","0","0"
"What political ideology of the Palang Dharma Party is relegion of Inthakin ?","0","0","0","1","0","0","0"
"Where did Fort Lauderdale Strikers season of 16 take place ?","0","0","0","0","0","1","0"
"What are some relatives of the people who fought in Operation Barbarossa ?","0","0","0","1","0","0","0"
"Is Mike Babcock the head coach of Toronto Maple Leafs ?","0","0","0","0","0","0","0"
"Is Audie Murphy buried in the Arlington national cementery ?","0","0","0","0","0","0","0"
"What honours did Reigh Count receive ?","0","0","0","1","0","0","0"
"How many people have written stuff broadcasted on the Tokyo Broadcasting System ?","0","1","0","0","0","0","0"
"How many more teams have rented the stadium used by Raptors 905 ?","0","1","0","0","0","0","0"
"Give me a count of musicians who play an instrument developed by George Beauchamp ?","0","0","0","0","0","0","0"
"Does the St lawrence river start in Kingston, Ontario ?","0","0","0","0","0","0","0"
"Give me an estimate of the number of manufacturers whose products are managed by MTR ?","0","0","0","0","0","0","0"
"Who is the fictional character whose relative is Vestigial Peter ?","1","0","0","0","0","0","0"
"What are a few molluscas whose family is Buccinidae ?","0","0","0","1","0","0","0"
"What type of government is elected in Kumta ?","0","0","0","1","0","0","0"
"What is the television show whose subsequent work is Crusade (TV series) and developed by  J. Michael Straczynski ?","0","0","0","1","0","0","0"
"What people were born in Ridgewood, New Jersey ?","0","0","0","1","0","0","0"
"What is the company to which Fusajiro Yamauchi proprietor to ?","0","0","0","1","0","0","0"
"Who is the performer of the album whose subsequent work is Willie Nelson and Family ?","1","0","0","0","0","0","0"
"Name the debut team of Dan Otero ?","0","0","0","0","0","0","0"
"How many utopian and dystopian fiction books are there ?","0","1","0","0","0","0","0"
"Does the Westchester Avenue fall under the Bronx ?","0","0","0","0","0","0","0"
"Count the total number of software whose programming language is C++ and operating system is Microsoft Windows ?","0","0","0","0","0","0","0"
"How many albums were released under the Victor Entertainment label ?","0","1","0","0","0","0","0"
"Does NOAAS Davidson (S 331) have a homeport in Seattle ?","0","0","0","0","0","0","0"
"Which company owns Evraz ?","0","0","0","0","0","0","1"
"Who is the leader of Panki block ?","1","0","0","0","0","0","0"
"Name the species of Liger ?","0","0","0","0","0","0","0"
"Is michelangelo the painter of The Persian Boy ?","0","0","0","0","0","0","0"
"Which television shows has sound format as 5.1 surround ?","0","0","0","0","0","0","1"
"Where is the capital of Kelsey Creek located ?","0","0","0","0","0","1","0"
"Name the TV show whose opening theme is Gary Portnoy and the subsequent work is Frasier ?","0","0","0","0","0","0","0"
"How many movies did Joel Schumacher direct ?","0","1","0","0","0","0","0"
"How many games are played at universities in Metro Manilla ?","0","1","0","0","0","0","0"
"Who is the owner of Saumarez ?","1","0","0","0","0","0","0"
"Is Compaq a software company ?","0","0","0","0","0","0","0"
"How many owners are there of things located in Alabama ?","0","1","0","0","0","0","0"
"Was the FIS Alpine World Ski Championship of 1950 held in Colorado ?","0","0","0","0","0","0","0"
"How many cities are around the sea into which the aegean sea flows ?","0","1","0","0","0","0","0"
"How many buildings are located in the jurisdiction of John Tory ?","0","1","0","0","0","0","0"
"Which railway line goes through the stations which are a part of the North Caucasus railway ?","0","0","0","0","0","0","1"
"Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler ?","0","0","0","0","0","0","0"
"What are some bands originating in London ?","0","0","0","1","0","0","0"
"what awards have been giving to Muhammad Yunus ?","0","0","0","0","0","0","0"
"How many teams have LA kings players in them currently ?","0","1","0","0","0","0","0"
"List the opponents of the relatives of Thomas Helwys ?","0","0","0","0","0","0","0"
"What is the region of Tom Perriello ?","0","0","0","1","0","0","0"
"What are some other great things by the person who produced Queer as Folk ?","0","0","0","1","0","0","0"
"Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo ?","0","0","0","0","0","0","0"
"Who are the associate musical artists of Dalma Kovcs ?","1","0","0","0","0","0","0"
"Does the Vadodara Railway station lie at the end of the Mathura Vadodara route ?","0","0","0","0","0","0","0"
"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames ?","0","0","0","0","0","0","0"
"What is the commander of Battle of Brownstown ?","0","0","0","1","0","0","0"
"What religion's politicians are in the Malaysian Chinese association ?","0","0","0","1","0","0","0"
"How many religions are practiced by diplomats ?","0","1","0","0","0","0","0"
"Who developed the programming languages designed by Rob Pike ?","1","0","0","0","0","0","0"
"List down the prime ministers of Peter Thorneycroft ?","0","0","0","0","0","0","0"
"list some companies founded by Jim Harris. ?","0","0","0","0","0","0","0"
"What has been founded in the state that Denton county, Texas is a part of ?","0","0","0","1","0","0","0"
"How many ?","0","1","0","0","0","0","0"
"How many writers worked on the album Main Course ?","0","1","0","0","0","0","0"
"Count the number of shows whose creators are Jerry Seinfeld and Larry David ?","0","0","0","0","0","0","0"
"How many broadcast area of the television stations exists whose broadcast area is Rodrigues ?","0","1","0","0","0","0","0"
"Which wine region of Bogdanua is the mouth country of Upper Neretva ?","0","0","0","0","0","0","1"
"Under whom did Charles Drummond Ellis do his PhD ?","0","0","0","0","0","0","0"
"Who founded the Not on our Watch NGO ?","1","0","0","0","0","0","0"
"Who first ascented a mountain of Mount Hoffmann ?","1","0","0","0","0","0","0"
"What is the military conflict whose commanders are John McEwen and Phm Vn ng ?","0","0","0","1","0","0","0"
"In how many countries do the rivers start which end at the Caspian Sea ?","0","0","0","0","0","0","0"
"Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past ?","1","0","0","0","0","0","0"
"Which holy things canonized John of Damascus ?","0","0","0","0","0","0","1"
"Count the number of schools which are in a city governed by the West Berkshire Council ?","0","0","0","0","0","0","0"
"Did Hank Williams Jr. make Early in the Morning and Late at Night ?","0","0","0","0","0","0","0"
"Is Pixar Canada a subsidiary of Pixar ?","0","0","0","0","0","0","0"
"List some leaders of regions in the Indian Standard Time Zone ?","0","0","0","0","0","0","0"
"Name the rivers originating from an English speaking nation ?","0","0","0","0","0","0","0"
"List the notable work of David Isaacs (writer) ?","0","0","0","0","0","0","0"
"Tirana is the largest city of which country ?","0","0","0","0","0","0","0"
"How many teams have used the stadium which hosted the WCW mayhem ?","0","1","0","0","0","0","0"
"Was the Army Air Corps honored for the battle of Iraq ?","0","0","0","0","0","0","0"
"How many people have played for a club whose coach is Fred Hoiberg ?","0","1","0","0","0","0","0"
"How many relatives are there of people fought in the Battle of the Bulge ?","0","1","0","0","0","0","0"
"Is Truth prevails the national motto of Czechoslovakia ?","0","0","0","0","0","0","0"
"Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?","1","0","0","0","0","0","0"
"Which football players have Newell's Old Boys as youthclub ?","0","0","0","0","0","0","1"
"Does the little colorado river flow in the Grand Canyon ?","0","0","0","0","0","0","0"
"Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?","0","0","0","0","0","0","1"
"How many religions are followed by the people in the Royal Thai Army ?","0","1","0","0","0","0","0"
"From which state do the White Plum Asangas come ?","0","0","0","0","0","0","0"
"List the ceremonial county of East Tilbury ?","0","0","0","0","0","0","0"
"How many people are there who have relationship with Kennedy family ?","0","1","0","0","0","0","0"
"Which board game can be said as a mind based game ?","0","0","0","0","0","0","1"
"Was GM first aired in Albania ?","0","0","0","0","0","0","0"
"How many games have a publisher based in US ?","0","1","0","0","0","0","0"
"How many fictional characters were humans ?","0","1","0","0","0","0","0"
"Is Julia Gillard a part of monarch of elizabeth 2 ?","0","0","0","0","0","0","0"
"Which cities come in the course of the river, into which Big Creek around Texas flows too ?","0","0","0","0","0","0","1"
"Where are INKAS located which is also the state of origin for Jojo Chintoh ?","0","0","0","0","0","1","0"
"Who wrote the frost king ?","1","0","0","0","0","0","0"
"How many other key people are there of the non-profit organisations whose key people is Hillary Clinton ?","0","1","0","0","0","0","0"
"How many races have the horses bred by Jacques Van't Hart participated in ?","0","1","0","0","0","0","0"
"Name the mouth country of Upper Neretva ?","0","0","0","0","0","0","0"
"In how many regions is English American spoken ?","0","0","0","0","0","0","0"
"Is Ella Fitzgerald associated with Mickey Roker ?","0","0","0","0","0","0","0"
"Does Cascade Airways have a hub in Seattle ?","0","0","0","0","0","0","0"
"How many services does the company who made Onedrive provide ?","0","1","0","0","0","0","0"
"Where did the Vitis Vinifera grapes originate ?","0","0","0","0","0","1","0"
"How many ships belong to states which has Unitary as government type ?","0","1","0","0","0","0","0"
"Which technological products were manufactured by Foxconn ?","0","0","0","0","0","0","1"
"Does Gibby Haynes play the saxophone ?","0","0","0","0","0","0","0"
"List the movies directed by Stanley Kubrick ?","0","0","0","0","0","0","0"
"Things going to the mediterranean sea also go where ?","0","0","0","0","0","0","0"
"How many first drivers have participated when Scuderia Ferrari was a first team ?","0","1","0","0","0","0","0"
"Was Tommy Tucker's Tooth animated by Walt Disney ?","0","0","0","0","0","0","0"
"Name all the bands which have members of QDT in them. ?","0","0","0","0","0","0","0"
"Which publisher of Stone Canoe is also the university for which Michael Powell plays for ?","0","0","0","0","0","0","1"
