QuestionID	Question	Label1	Label2	Dbpedia-Relation	RelationTotal	relnliodLogs	qanary_component-DiambiguationProperty-OKBQA	qanary_component-AnnotationofSpotProperty	Kcap	isiah
10015	How many tenats have been there, of the constructions of PCL constructures ?	tenats		http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/tenant	2	0.6666666667			0	0
10016	Was Kevin Jonas a part of Jonas brothers ?	part 		http://dbpedia.org/ontology/formerBandMember	1				0.3333333	0
10017	Which kind of conventions are held in Rosemont, Illinois ?	held 	kind	http://dbpedia.org/ontology/location	1		0		0	0
10018	How many books have been penned by Miguel de Cervantes ?	penned		http://dbpedia.org/ontology/author	1	1		1	0	0.6666667
10019	What are the schools whose city is Reading, Berkshire ?	city		http://dbpedia.org/ontology/city	1				0	0
10020	Does the west thurrock come under Essex county ?	county		http://dbpedia.org/ontology/ceremonialCounty	1	0			0	0
10021	How many people have headed organizations headquartered at Niederkirchnerstrae ?	headquartered	headed	http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader	2	0			0	1
10022	In which television shows have Steven Moffat served as an executive producer ?	executive producer		http://dbpedia.org/ontology/executiveProducer	1	1	0		0	0.07692307
10024	What company involved in the development of Sherlock did Arthur Levinson work for ?	work for	development	http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/developer	2		0	0	0	0.1818182
10025	What is the style of architecture of South Loop Printing House District ?	style of architecture		http://dbpedia.org/ontology/architecturalStyle	1	1	0	1	0	0.4
10026	Is Ombla originate in Croatia ?	originate		http://dbpedia.org/ontology/sourceMountain	1	0			0	0
10028	Who is the producer of the song which is the previous work of He's a Liar ?	previous work	producer	http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/producer	2	0.6666666667	0	0.6666666667	0	0.09090909
10029	Who gave the voice for Allen Walker ?	voice		http://dbpedia.org/ontology/voice	1	0.6666666667	0	0	0	1
10030	Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?	associated	associated	http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/associate	2	0	1	0	0	1
10031	Which country has given citizenship to both saima chowdhury and edmund john ?	citizenship	500000	http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship	2	0		0	0	0.1333333
10032	Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?	person that first ascented		http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/firstAscentPerson	2				0	0.25
10033	What university campuses are situated in Indiana ?	campuses		http://dbpedia.org/ontology/campus	1	0	0	0	0	0
10034	Where is the swedish covenant hospital ?	Where		http://dbpedia.org/ontology/location	1				0	0
10035	Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?	composer	subsequent work	http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/subsequentWork	2	0	0	0	0	0.1666667
10036	Name the members of  boards of Freedom of the City and Trinity House ?	boards	boards	http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board	2	0.6666666667	0	0	0	0.1666667
10038	In which war did Roh Tae Woo and Lee Leffingwell fight ?	war	war	http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle	2	0			0	0.1538462
10039	What can be cooked out of things belonging to the order Sapindales ?	order	things	http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient	2				0	0
10040	How many  TV shows were made by someone who was associated with Lewis Hamilton ?	associated	made	http://dbpedia.org/ontology/associatedBand	1	0.6666666667	0	0.6666666667	0	0.1176471
10041	Name the alma mater of Michael hahn ?	mater alma		http://dbpedia.org/ontology/almaMater	1	1		1	0	1
10042	How many party leaders are there whose parties are headquartered in Berlin ?	headquartered	leaders	http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader	2	0.6666666667			1	0.1666667
10043	How many total religions are followed by people whose hometown is somewhere in India ?	hometown	religions	http://dbpedia.org/ontology/hometown	1	0	0	0	0.6666667	0
10045	Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?	commander	commander	http://dbpedia.org/ontology/commander	1	0.5			0	0
10046	Which country's leader is David Johnston ?	leader		http://dbpedia.org/ontology/leader	1	0			0	1
10047	How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?	fought	wars	http://dbpedia.org/ontology/battle	1			1	1	0.4
10048	Where was Antonio Giannini born ?	born		http://dbpedia.org/ontology/birthPlace	1				0	0
10049	Where was David Scherman trained ?	trained		http://dbpedia.org/ontology/training	1				0	0.6666667
10050	What religions do politicians in the Korean Minjoo Party follow ?	party	religions	http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion	2	0	0	0	0	0
10051	Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?	employer	employer	http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer	2	0.6666666667	0	0.6666666667	1	0
10052	What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?	living 	@@@	http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle	2		0		0	0
10053	Where was Live in Detroit, MI recorded ?	recorded		http://dbpedia.org/ontology/recordedIn	1				0	0
10055	What awards have been won by the executive producer of Timmy Time ?	executive producer	awards	http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/award	2	0.6666666667		0.6666666667	0	0.1333333
10057	What are some families of mammals in the animal kingdom ?	kingdom	families	http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family	2	0.6666666667	0	0.6666666667	0	0
10060	Did Steve Sampson manage a club of Santa Clara university ?	manage a club	carry	http://dbpedia.org/ontology/managerClub	1	1	1	1	0	0.2857143
10061	List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?	layout	layout	http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/layout	2	1		0	0	0.1666667
10062	In which time zone is Pong Pha ?	zone time		http://dbpedia.org/ontology/timeZone	1				0	0
10063	What is the alma mater of the Angela Trusty and Charles Ayres ?	mater alma	mater alma	http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/almaMater	2	1		1	0	1
10064	How many rivers start in an English speaking country ?	speaking	start	http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry	2	0	0	0	0	0
10065	Where are Aureus and Solidus used as currency ?	currency	currency	http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency	2	0			0	1
10066	Is the chestnut white bellied rat a mammal ?	@@@		http://dbpedia.org/ontology/class	1				0	0
10068	In how many nations can I find dishes made of Shallot ?	find	nations	http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country	2				0	0
10069	What system is both a platform where Nord runs and also distributed The beauty inside ?	platform	distributed	http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/distributor	2	0.6666666667			0	0
10071	what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?	games	500000	http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport	2		0	1	0	0.1111111
10072	Who were all the people in office when bob hawke was the PM ?	PM		http://dbpedia.org/ontology/primeMinister	1	0			0	0
10073	Which sports are played at institues in Taguig ?	in	sports	http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sport	2	0.6666666667	0	0.6666666667	0	0
10074	Raymond Johansen is the mayor of what city ?	mayor		http://dbpedia.org/ontology/leaderName	1	1	0	1	0	0
10075	What is the nation of the speedway league where Ikaros Smederna played ?	league	nation	http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country	2		0	0	0	0
10076	What are the kind of games one can play on windows ?	on	one	http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre	2		0		0	0
10077	Count the number of sports played by schools which play hockey ?	sports	sports	http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport	2	0	0	0	0	0.5
10078	What is the common school of Chris Marve and Neria Douglass ?	school	500000	http://dbpedia.org/ontology/school,http://dbpedia.org/ontology/almaMater	2	0	0	0	0.4	1
10079	What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?	canonized	relegious affiliation	http://dbpedia.org/ontology/canonizedBy,http://dbpedia.org/ontology/religion	2	0.6666666667	0	0	0	0.08333334
10080	Rivers from which countries flow into the Caspian ?	from	countries	http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/sourceCountry	2	0	0	0	1	0.06451613
10081	Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?	garrison	structure command	http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure	2	0			0	0
10082	what are some devices made by asus ?	made		http://dbpedia.org/ontology/manufacturer	1		0	1	0	0
10083	Count the number of people who graduated from universities affiliated with the NCAA. ?	@@@		http://dbpedia.org/ontology/athletics	1	0	0	0	0	0
10084	Is Queen Latifah associated with Afrika Baby Bam ?	associated		http://dbpedia.org/ontology/associatedBand	1		0	1	0	0.25
10085	Count all that was built by a company whose leader is Kazuo Hirai ?	built	leader	http://dbpedia.org/ontology/manufacturer	1	0	0	0	0	0
10086	What is the largest city in the country where the San Marcos River originates ?	largest city	originates	http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/largestCity	2	0	0		0	0
10087	Give a list of all the labels that have jazz fusion artists signed up with them ?	labels	@@@	http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/recordLabel	2	0			0	0
10088	Name the major shrine of Bogumilus ?	major shrine		http://dbpedia.org/ontology/majorShrine	1	1		1	0	1
10089	List the religion of people in the Cambodian human rights party ?	religion	@@@	http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/religion	2	0			0	0
10091	Which location of INKAS is also the location of T.I. Ahmadiyya Senior High School, Kumasi ?	location	location	http://dbpedia.org/ontology/denomination	1	0			0	0
10094	Which researchers received fellowship from Royal Society ?	fellowship		http://dbpedia.org/ontology/award	1	1	1	1	0.3333333	0
10095	what are some famous people out of the Filipinos ?	out of		http://dbpedia.org/ontology/stateOfOrigin	1	1			0	0
10096	To whom was Tessa Dahl born to ?	born		http://dbpedia.org/ontology/parent	1	1	0	0	0.5	0.6666667
10097	Was Jack Ryan a nominee of US Senate ?	nominee		http://dbpedia.org/ontology/nominee	1				0	1
10098	Count the number of religions followed by the alumini of Ananda College. ?	religions	alumini	http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/religion	2	0.5	0	0	0	0
10099	What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?	source	mouth	http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/riverMouth	2	0			0	0
10100	Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?	seaons	youth clubs	http://dbpedia.org/ontology/season	1		0		0	0.1538462
10102	What are the border of High Desert (Oregon) ?	border		http://dbpedia.org/ontology/border	1	1	1	1	0	0
10103	What all is owned by a company one of whose division is Paramount Domestic Television ?	division	company	http://dbpedia.org/ontology/division	1	0	0	0	0	0
10104	Which musical band produced the subsequent work of City of New Orleans ?	subsequent work	musical band	http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/musicalBand	2	0	0	0	0	0.08000001
10105	The authors of Zhorstoke nebo was influenced by whom ?	authors	influenced by	http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/influencedBy	2	0	0		1	0.6666667
10106	Name the largest city in the county where there is a Cy-Fair High School. ?	county	largest city	http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/largestCity	2	0.6666666667	0		0	0
10107	Name the common associate band of Blayse and Teddy Riley ?	associate band	500000	http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedBand	2		0	1	0	0.6666667
10108	Who is the performer of album which has the song "To Where You Are" ?	album	performer	http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/artist	2	0			0	1
10109	Does the merlin express have a hub at the cibano international airport ?	hub		http://dbpedia.org/ontology/hubAirport	1				0	0.1666667
10111	For how many different teams have Ontarians been drafted ?	drafted	@@@	http://dbpedia.org/ontology/draftTeam	1				0	0.2
10113	What railway lines go through the stations maintained by Western Australian Public Transport Authority ?	railway lines	maintained	http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine	2	0		0	0	0
10114	What is the leader name of the settlements whose governing body is Municipal council ?	governing body	leader name	http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/leaderName	2	1	0.6666666667	0.6666666667	0	0
10115	What is the major shrine of Jacques-Dsir Laval ?	major shrine		http://dbpedia.org/ontology/majorShrine	1	1		1	0	1
10117	To which series does the character of Londo Mollari belong ?	series		http://dbpedia.org/ontology/series	1		0		0	0
10118	Count all the scientologists. ?	@@@		http://dbpedia.org/ontology/religion	1				0	0
10119	Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?	country	country	http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry	2	1	0	0	0	0
10120	How many genres of games can I find on the commodore CDTV ?	genres	@@@	http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre	2	0.6666666667			0	0
10121	List the cast member of the movies whose producer is Mark Johnson. ?	cast members	producers	http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/starring	2	0.6666666667			0	0.1111111
10122	In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?	used in	territories	http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory	2	0			0	0
10123	Who are the politicians whose death place is Ontario ?	death place		http://dbpedia.org/ontology/deathPlace	1	1			0	0
10125	Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?	product	key person	http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/keyPerson	2	0.5			0	0
10127	What is the route junction of Rhode Island Route 15 ?	route junction		http://dbpedia.org/ontology/routeJunction	1	1	1	1	0.5	1
10128	Which executive producer of the ultimate merger is also an important person at Trump Productions ?	executive producer	person	http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/keyPerson	2	0.6666666667			0	0.1666667
10129	Is KOMC-FM the sister station of KOMC (AM) ?	sister station		http://dbpedia.org/ontology/sisterStation	1	1	0	1	0.6666667	0
10130	Do the asiana airlines fly  to Jeju airport ?	fly to		http://dbpedia.org/ontology/targetAirport	1	1		1	0	0
10131	Which awards are presented by Swedish Academy ?	presented		http://dbpedia.org/ontology/presenter	1	1	0	1	0.5	0.6666667
10132	List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?	awards	awards	http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award	2		0		0	1
10133	Which motion picture stories were edited by Ishir Honda ?	edited by		http://dbpedia.org/ontology/writer	1	0	0	0	0	0
10134	Which rivers originate from Dowra ?	originate		http://dbpedia.org/ontology/sourceMountain	1	1	0		0	0
10136	Did Henry Ford design the Model C ?	design		http://dbpedia.org/ontology/designCompany	1				1	0
10137	How many people are known for Dragons' Den ?	known for		http://dbpedia.org/ontology/knownFor	1	0	0	0	0	0.5
10138	Greater Napanee is the home town of what people ?	home town		http://dbpedia.org/ontology/hometown	1	1	0	1	0.3333333	0
10139	In which state is the Channel district ?	district		http://dbpedia.org/ontology/state	1	1			1	0
10140	Name the religious affiliation of Vagif Aliyev ?	religious affiliation		http://dbpedia.org/ontology/religion	1	1	0	0	0	0
10143	How many currencies are in used in places where people speak French ?	speak	currencies	http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/currency	2		0	0	0	0
10144	What political party has governed both in Baraily,MP and Jowai ?	governed	500000	http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName	2	1	0	0	0	0
10145	Which officers fought in the war of Siege of Fort Recovery ?	war		http://dbpedia.org/ontology/battle	1	1		1	0	0.5
10146	How many writers speak a language belonging to the Germanic kind of languages ?	language	language	http://dbpedia.org/ontology/languageFamily	1	0	0		0	0
10148	For which other teams do members of tanzanian national football team play ?	team	team	http://dbpedia.org/ontology/team	1	0	0	0	0	0
10149	How many maintainers are there of the bridges that can carry motor vehicles over them ?	carry	maintainer	http://dbpedia.org/ontology/maintainedBy	1	0	0		0	0
10150	What is Jon Speelman famous for ?	@@@		http://dbpedia.org/ontology/field	1				0	0
10151	What city is the residence of Cheryl Teigs ?	residence		http://dbpedia.org/ontology/residence	1	1	1	1	0	1
10152	Give me a count of everything under the archipelago, where Papeete is the biggest town. ?	biggest town	archipelago	http://dbpedia.org/ontology/largestCity	1		0		0	0
10153	Name the nearest city to  Lake Victoria ?	nearest city		http://dbpedia.org/ontology/nearestCity	1	0	1		0	0.6666667
10157	Who are the opponents of Gervase Helwys ?	opponent		http://dbpedia.org/ontology/opponent	1	1	1	1	0	0.6666667
10158	With whom is Heinz Kokott a relative to who also served Nazi Army ?	relative to		http://dbpedia.org/ontology/relation	1	0			0	0.6666667
10159	Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?	publisher	founded by	http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/founder	2	0			0	1
10160	Which television show's network  is BBC HD and is related to Doctor Who Confidential ?	network	related	http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/related	2	0			1	0.0625
10161	What is the life stance of the ethnic groups related to Micronesia ?	related	life stance	http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/religion	2		0.6666666667	0	0	0
10162	What is the magazine which have been  founded by Ralph J. Gleason ?	founded by		http://dbpedia.org/ontology/founder	1	1	0	1	0	0.6666667
10163	Which river ends at  Thames Estuary and North Sea ?	river	river	http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/riverMouth	2		0		0	0
10165	How many other awards have been given to people who have won the Golden Globe ?	awards	awards	http://dbpedia.org/ontology/award	1	1	0	1	0	0
10166	Does Mr. Jim's Pizza operate in the pizza industry ?	industry		http://dbpedia.org/ontology/industry	1	0			0	0.0952381
10167	How many other field are there of the scientists whose one of the field is Mathematics ?	field	field	http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/field	2	1		0	0	0
10168	Who had  Joe Purcell and Winston Bryant as lieutenants ?	lieutenant	lieutenant	http://dbpedia.org/ontology/lieutenant,http://dbpedia.org/ontology/lieutenant	2				0	1
10169	Did stan lee narrate the incredible hulk tv show ?	narrate		http://dbpedia.org/ontology/narrator	1		1	1	0	0.6666667
10170	How many sports are played in organizations presided by Emanuel de Guzman ?	presided	sport	http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/sport	2	0.6666666667	0	0.6666666667	0	0
10171	What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov ?	genre	sport	http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/sport	2	0.6666666667			0	0
10172	How many different genres of games are produced by Blizzard ?	genres	produced	http://dbpedia.org/ontology/developer	1	0	0	0	0	0
10173	Name the river flowing through Reading and source place as Gloucestershire ?	@@@	source place	http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sourcePlace	2				0	0
10174	Who was in conflicts of Fort Barrancas and Gadsden ?	conflicts of	@@@	http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle	2	1	0		0	0.5
10175	What are some cars which came before the ones on a GM B base ?	@@@	came before	http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/predecessor	2				0	0
10176	Name few companies founded in Texas ?	founded		http://dbpedia.org/ontology/foundationPlace	1	0			0.3333333	0
10177	Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?	language family	speaks	http://dbpedia.org/ontology/languageFamily	1				0	0
10178	Name all those whose spouses have performed with Tony Bennett ?	@@@	spouses	http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/spouse	2		0		0	0
10179	What are the books written by the the person who made the Novelas ejemplares ?	made 	written by	http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/author	2	0	0	0	0	0
10180	Whos a famous relative of anne spielberg ?	relative		http://dbpedia.org/ontology/relation	1				0	0.6666667
10181	Name the TV show whose network is NBC and is the subsequent work of Fraiser ?	network	subsiquent work	http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/subsequentWork	2	0			0	0.3333333
10183	Give the distinct number of other party of the people which have one of the party as Janata Party ?	other party	other party	http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/otherParty	2	0	0	0	0	0.1111111
10184	Count the units garrisoned at Arlington County, Virginia. ?	garrison		http://dbpedia.org/ontology/garrison	1				0	0
10185	List all the co-founders of the non for profit which have founding member as David pressman ?	co-founder	co-founder	http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/ontology/foundedBy	2	0	0		0	0.05405406
10186	how many companies are located in a spanish speaking region ?	speaking	located in	http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location	2	0			0	0
10187	What are some US citizens famous for ?	famous 		http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/knownFor	2				0	0
10189	How many golf players are there in Arizona State Sun Devils ?	@@@		http://dbpedia.org/ontology/college	1				0	0
10190	Which rivers start in Wyoming ?	start in		http://dbpedia.org/ontology/sourceRegion	1	0	0	0	0	0
10191	What country is Jeffrey Werleman from, which also has the American Mediterranean Sea ?	@@@	country	http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/country	2	0	0.6666666667	0	0	0
10192	The Prime minister who worked in the Khmer Issarak follows which religion ?	@@@	religion	http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/ontology/religion	2		0		0	0
10193	Who coached the marquet golden eagels during 2013 ?	coach		http://dbpedia.org/ontology/coach	1	1	0	1	0	1
10195	Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?	tenant	military branch	http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/militaryBranch	2	1	0	0	1	0.1666667
10197	How many famous people are born in Long Island ?	born in		http://dbpedia.org/ontology/birthPlace	1	1	0	1	0	1
10198	List the newspapers whose offices are situated in 1211 Avenue of the Americas ?	situated		http://dbpedia.org/ontology/headquarter	1	0	0	0	0	0
10199	What are the movies whose cinematographer is Gregg Toland ?	cinematographer		http://dbpedia.org/ontology/cinematography	1	1			0	0
10200	Who is the person who are on the board of Freedom of the City ?	board		http://dbpedia.org/ontology/board	1	0			1	0.1666667
10201	Name the sitcoms whose network's owning company is Chris-Craft Industries ?	owning company	network's 	http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/network	2	0			0.6666667	1
10202	How many developers have games where I can hear Lightning McQueen ?	developer	hear	http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/developer	2	0	0	0	0	0
10203	List the ingredient of Blodpalt ?	ingredient		http://dbpedia.org/ontology/ingredient	1	1			0	1
10204	Does Caroline Augusta Foley Rhys Davids study Buddhism ?	study		http://dbpedia.org/ontology/field	1				0	0.3333333
10205	Who is the performer of Bengali in Platforms ?	performer		http://dbpedia.org/ontology/artist	1	1	1	1	0	1
10206	In how many other states do people live, whose languages are spoken in Nebraska ?	languages	live in	http://dbpedia.org/ontology/language	1	0			0	0
10207	What are some fictional characters whose voice is in the peanuts movie ?	voice		http://dbpedia.org/ontology/voice	1	1			0	0
10208	What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905 ?	tenant	tenant	http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/tenant	2	0.6666666667	0	0	0	1
10209	In how many places have Irishmen died ?	places	places	http://dbpedia.org/ontology/deathPlace	1				0	0
10211	How many companies are located in Toronto ?	located		http://dbpedia.org/ontology/locationCity	1	1			0.3333333	0
10212	Who is a successor of Kingship whose parents were Julius Caesar ?	parents	successor	http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/successor	2		0.6666666667	0	0	0.2857143
10213	Who wrote the musical based on Mary Poppins ?	based on	wrote	http://dbpedia.org/ontology/basedOn,http://dbpedia.org/ontology/author	2	0		0	0.5	0
10214	How many people have voiced characters sculpted by Clamp ?	sculpted	voiced	http://dbpedia.org/ontology/voice	1	0	1	1	1	1
10215	What team has  players  born in Dominican Republic ?	born in	team	http://dbpedia.org/ontology/team	1	0	0	0	0	0.09090909
10216	Was Derg the anthem of Ethopia ?	anthem 		http://dbpedia.org/ontology/anthem	1				0	1
10217	What cities does the river goes through, whose tributary is the little black river in Arkansas ?	tributary	in	http://dbpedia.org/ontology/leftTributary,http://dbpedia.org/ontology/city	2	0.5			0	0
10219	For how many other teams have the former players of Boston Bruins played ?	former	team	http://dbpedia.org/ontology/formerTeam	1	0	0		0	0
10220	Count the different origins of members of the Vitis Vinifera species. ?	species	origins of 	http://dbpedia.org/ontology/species,http://dbpedia.org/ontology/origin	2	0	0.6666666667		0	0
10221	Who is the author of Karakuri Dji Ultimo ?	author		http://dbpedia.org/ontology/author	1		0	0	0	1
10222	Was the  2d Command and Control Squadron barracked in Colorado ?	in		http://dbpedia.org/ontology/garrison	1	1		1	0	0
10223	Who is the founder of Hohenau, Paraguay ?	founder		http://dbpedia.org/ontology/founder	1	0	0	0	0	0
10224	List the show related to the which was followed by Doctor Who Extra ?	@@@	show	http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/related	2	0	0	0	1	0
10225	Count the number teams which have  former ice hockey players which also included American Hockey League ?	former	former	http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/formerTeam	2	0			0	0
10227	To how many places does the airlines fly, whose head office is located at the Gatwick Airport ?	head office	places	http://dbpedia.org/ontology/headquarter	1	0			0	0
10228	Which political figures were awarded Screen Actors Guild Life Achievement Award ?	awarded		http://dbpedia.org/ontology/award	1	1	1	1	0	1
10229	Where do current famous NatGeo photographers live ?	@@@	live	http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/residence	2				0	0
10231	How many different layouts do cars designed by Oliver Boulay have ?	designed	layout	http://dbpedia.org/ontology/layout	1	1		0	0	0.1666667
10232	Is Hyundai Lavita assembled in Malaysia ?	assembled		http://dbpedia.org/ontology/assembly	1				0	0
