Questions,label1,label2,uri1,uri2,label1len,label2len,uri1Label,uri2Label
In which television shows have Steven Moffat served as an executive producer,executive producer,,http://dbpedia.org/ontology/executiveProducer,,2,0,executiveProducer,
How many services does 21Vianet provide,services,,http://dbpedia.org/property/services,,1,0,services,
What company involved in the development of Sherlock did Arthur Levinson work for,work for,development,http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/developer,2,1,occupation,developer
What is the style of architecture of South Loop Printing House District,style of architecture,,http://dbpedia.org/ontology/architecturalStyle,,3,0,architecturalStyle,
Is Ombla originate in Croatia,originate,,http://dbpedia.org/ontology/sourceMountain,,1,0,sourceMountain,
Was Ganymede discovered by Galileo Galilei,discovered,,http://dbpedia.org/property/discoverer,,1,0,discoverer,
Who is the producer of the song which is the previous work of He's a Liar,previous work,producer,http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/producer,2,1,previousWork,producer
Who gave the voice for Allen Walker,voice,,http://dbpedia.org/ontology/voice,,1,0,voice,
Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus,associated,associated,http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/associate,1,1,associate,associate
Which country has given citizenship to both saima chowdhury and edmund john,citizenship,citizenship,http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship,1,1,citizenship,citizenship
Who is the person that first ascented the Cathedral Peak and Mount Hoffmann,person that first ascented,,http://dbpedia.org/ontology/firstAscentPerson,,4,0,firstAscentPerson,
What university campuses are situated in Indiana,campuses,,http://dbpedia.org/ontology/campus,,1,0,campus,
Where is the swedish covenant hospital,Where,,http://dbpedia.org/ontology/location,,1,0,location,
Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee,composer,subsequent work,http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/subsequentWork,1,2,composer,subsequentWork
Name the members of  boards of Freedom of the City and Trinity House,boards,boards,http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board,1,1,board,board
Was Reza Amrollahi born in Iran,born,,http://dbpedia.org/property/birthplace,,1,0,birthplace,
In which war did Roh Tae Woo and Lee Leffingwell fight,war,war,http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,1,1,battle,battle
What can be cooked out of things belonging to the order Sapindales,order,things,http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient,1,1,order,ingredient
How many  TV shows were made by someone who was associated with Lewis Hamilton,associated,made,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/property/creator,1,1,associatedBand,creator
Name the alma mater of Michael hahn,mater alma,,http://dbpedia.org/ontology/almaMater,,2,0,almaMater,
How many party leaders are there whose parties are headquartered in Berlin,headquartered,leaders,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,1,1,headquarter,leader
How many total religions are followed by people whose hometown is somewhere in India,hometown,religions,http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/religion,1,1,hometown,religion
Did Gwo Ka originate in Western Africa,originate,,http://dbpedia.org/property/stylisticOrigins,,1,0,stylisticOrigins,
Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).,commander,commander,http://dbpedia.org/property/commander,http://dbpedia.org/ontology/commander,1,1,commander,commander
Which country's leader is David Johnston,leader,,http://dbpedia.org/ontology/leader,,1,0,leader,
How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved,fought,wars,http://dbpedia.org/ontology/battle,http://dbpedia.org/property/combatant,1,1,battle,combatant
Where was Antonio Giannini born,born,,http://dbpedia.org/ontology/birthPlace,,1,0,birthPlace,
Where was David Scherman trained,trained,,http://dbpedia.org/ontology/training,,1,0,training,
What religions do politicians in the Korean Minjoo Party follow,party,religions,http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion,1,1,party,religion
Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft,employer,employer,http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer,1,1,employer,employer
"What were the major actions taken by the politicians living in Gales Ferry, Connecticut",living in,@@@,http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle,2,1,residence,battle
"Where was Live in Detroit, MI recorded",recorded,,http://dbpedia.org/ontology/recordedIn,,1,0,recordedIn,
who all have been a manager of english under twenty one football team,manager,,http://dbpedia.org/property/managerclubs,,1,0,managerclubs,
What awards have been won by the executive producer of Timmy Time,executive producer,awards,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/award,2,1,executiveProducer,award
"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.",stadium,youth club,http://dbpedia.org/property/ground,http://dbpedia.org/property/youthclubs,1,2,ground,youthclubs
What are some families of mammals in the animal kingdom,kingdom,families,http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family,1,1,kingdom,family
Count all the different purposes followed by the different NGOs.,Count,purposes,http://dbpedia.org/property/type,http://dbpedia.org/property/purpose,1,1,type,purpose
How many things are crossed over by bridges which can carry cars,carry,crossed,http://dbpedia.org/property/carries,http://dbpedia.org/property/crosses,1,1,carries,crosses
Did Steve Sampson manage a club of Santa Clara university,manage a club,,http://dbpedia.org/ontology/managerClub,,3,0,managerClub,
List all the layouts of the automobile whose one of the layout is four-wheel-drive layout,layout,layout,http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/layout,1,1,layout,layout
In which time zone is Pong Pha,zone time,,http://dbpedia.org/ontology/timeZone,,2,0,timeZone,
What is the alma mater of the Angela Trusty and Charles Ayres,mater alma,mater alma,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/almaMater,2,2,almaMater,almaMater
How many rivers start in an English speaking country,speaking,start,http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry,1,1,officialLanguage,sourceCountry
Where are Aureus and Solidus used as currency,currency,currency,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency,1,1,currency,currency
Is the chestnut white bellied rat a mammal,a,,http://dbpedia.org/ontology/class,,1,0,class,
Was Tim Gunn a guest on The Broken Code,guest,,http://dbpedia.org/property/guests,,1,0,guests,
In how many nations can I find dishes made of Shallot,find,nations,http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country,1,1,ingredient,country
What system is both a platform where Nord runs and also distributed The beauty inside,platform,distributed,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/distributor,1,1,computingPlatform,distributor
Is Tirana the largest city of Albania,largest city,,http://dbpedia.org/property/largestCity,,2,0,largestCity,
what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School,games,games,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport,1,1,sport,sport
Who were all the people in office when bob hawke was the PM,PM,,http://dbpedia.org/ontology/primeMinister,,1,0,primeMinister,
Which sports are played at institues in Taguig,in,sports,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sport,1,1,city,sport
Raymond Johansen is the mayor of what city,mayor,,http://dbpedia.org/ontology/leaderName,,1,0,leaderName,
What is the nation of the speedway league where Ikaros Smederna played,league,nation,http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country,1,1,league,country
What are the kind of games one can play on windows,on,one,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre,1,1,computingPlatform,genre
Count the number of sports played by schools which play hockey,sports,sports,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport,1,1,sport,sport
What is the common school of Chris Marve and Neria Douglass,school,common,http://dbpedia.org/ontology/school,http://dbpedia.org/ontology/almaMater,1,1,school,almaMater
What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs,canonized by,relegious,http://dbpedia.org/ontology/canonizedBy,http://dbpedia.org/ontology/religion,2,1,canonizedBy,religion
Rivers from which countries flow into the Caspian,from,countries,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/sourceCountry,1,1,riverMouth,sourceCountry
"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense",garrison,structure command,http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure,1,2,garrison,commandStructure
what are some devices made by asus,made by,,http://dbpedia.org/ontology/manufacturer,,2,0,manufacturer,
Count the number of people who graduated from universities affiliated with the NCAA.,@@@,@@@,http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/education,1,1,athletics,education
Is Queen Latifah associated with Afrika Baby Bam,associated,,http://dbpedia.org/ontology/associatedBand,,1,0,associatedBand,
Count all that was built by a company whose leader is Kazuo Hirai,leader,built by,http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/manufacturer,1,2,keyPeople,manufacturer
What is the largest city in the country where the San Marcos River originates,originates,largest city,http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/largestCity,1,2,sourceMountain,largestCity
Give a list of all the labels that have jazz fusion artists signed up with them,artists,label,http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/recordLabel,1,1,genre,recordLabel
Name the major shrine of Bogumilus,major shrine,,http://dbpedia.org/ontology/majorShrine,,2,0,majorShrine,
List the religion of people in the Cambodian human rights party,party,religion,http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/religion,1,1,otherParty,religion
Count the wars in which people awarded with the Croix de guerre fought.,awarded,fought,http://dbpedia.org/property/awards,http://dbpedia.org/property/battles,1,1,awards,battles
"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi",location,location,http://dbpedia.org/property/locations,http://dbpedia.org/ontology/denomination,1,1,locations,denomination
How many battles have involved commanders of 1st Free French Division,commanders,battles,http://dbpedia.org/property/notableCommanders,http://dbpedia.org/property/battles,1,1,notableCommanders,battles
Count the number of cities on the Mediterranean Sea,cities,,http://dbpedia.org/property/cities,,1,0,cities,
Which researchers received fellowship from Royal Society,fellowship,,http://dbpedia.org/ontology/award,,1,0,award,
what are some famous people out of the Filipinos,filipinos,,http://dbpedia.org/ontology/stateOfOrigin,,1,0,stateOfOrigin,
To whom was Tessa Dahl born to,born,,http://dbpedia.org/ontology/parent,,1,0,parent,
Was Jack Ryan a nominee of US Senate,nominee,,http://dbpedia.org/ontology/nominee,,1,0,nominee,
Count the number of religions followed by the alumini of Ananda College.,alumini,religion,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/religion,1,1,almaMater,religion
What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth,source,river mouth,http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/riverMouth,1,2,source,riverMouth
Who were in the youth clubs that were in season of 2015 Argentine Primera Division,season,youth clubs,http://dbpedia.org/ontology/season,http://dbpedia.org/property/youthclubs,1,2,season,youthclubs
"From how many coutries do companies come, which are headquartered in the Klang Valley",headquarter,coutries,http://dbpedia.org/property/headquarters,http://dbpedia.org/property/country,1,1,headquarters,country
What are the border of High Desert (Oregon),border,,http://dbpedia.org/ontology/border,,1,0,border,
What all is owned by a company one of whose division is Paramount Domestic Television,division,company,http://dbpedia.org/ontology/division,http://dbpedia.org/property/company,1,1,division,company
Which musical band produced the subsequent work of City of New Orleans,subsequent work,musical band,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/musicalBand,2,2,subsequentWork,musicalBand
The authors of Zhorstoke nebo was influenced by whom,authors,influenced by,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/influencedBy,1,2,author,influencedBy
Name the largest city in the county where there is a Cy-Fair High School.,county,largest city,http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/largestCity,1,2,county,largestCity
Name the common associate band of Blayse and Teddy Riley,associate band,associate band,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedBand,2,2,associatedBand,associatedBand
"Who is the performer of album which has the song ""To Where You Are""",album,performer,http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/artist,1,1,album,artist
Does the merlin express have a hub at the cibano international airport,airport hub,,http://dbpedia.org/ontology/hubAirport,,2,0,hubAirport,
"How many people live in Wilton, Connecticut",live,,http://dbpedia.org/property/residence,,1,0,residence,
For how many different teams have Ontarians been drafted,,drafted,http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/draftTeam,0,1,placeOfBirth,draftTeam
How many rivers are crossed by different Box Girder bridges,bridges,crossed,http://dbpedia.org/property/design,http://dbpedia.org/property/crosses,1,1,design,crosses
What railway lines go through the stations maintained by Western Australian Public Transport Authority,maintained by,railway lines,http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine,2,2,owningOrganisation,servingRailwayLine
What is the leader name of the settlements whose governing body is Municipal council,governing body,leader name,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/leaderName,2,2,governingBody,leaderName
What is the major shrine of Jacques-Dsir Laval,major shrine,,http://dbpedia.org/ontology/majorShrine,,2,0,majorShrine,
Count the number of actors in Lucy Sullivan Is Getting Married.,actor,,http://dbpedia.org/property/starring,,1,0,starring,
To which series does the character of Londo Mollari belong,series,,http://dbpedia.org/ontology/series,,1,0,series,
Count all the scientologists.,,,http://dbpedia.org/ontology/religion,,0,0,religion,
Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country,country,country,http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry,1,1,locationCountry,locationCountry
How many genres of games can I find on the commodore CDTV,,genre,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre,0,1,computingPlatform,genre
List the cast member of the movies whose producer is Mark Johnson.,producer,cast member,http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/starring,1,2,producer,starring
In how many  territories were the wars fought where Fusil Gras Mile 1874 were used,used,territories,http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory,1,1,usedInWar,territory
Who are the politicians whose death place is Ontario,death place,,http://dbpedia.org/ontology/deathPlace,,2,0,deathPlace,
Does the US route 281 have a junction at San Antonio,junction,,http://dbpedia.org/property/junction,,1,0,junction,
Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull,product,key person,http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/keyPerson,1,2,product,keyPerson
Give me a count of royalties buried in Rome,buried in,,http://dbpedia.org/property/placeOfBurial,,2,0,placeOfBurial,
What is the route junction of Rhode Island Route 15,route junction,,http://dbpedia.org/ontology/routeJunction,,2,0,routeJunction,
Which executive producer of the ultimate merger is also an important person at Trump Productions,executive producer,person,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/keyPerson,2,1,executiveProducer,keyPerson
Is KOMC-FM the sister station of KOMC (AM),sister station,,http://dbpedia.org/ontology/sisterStation,,2,0,sisterStation,
Do the asiana airlines fly  to Jeju airport,fly,,http://dbpedia.org/ontology/targetAirport,,1,0,targetAirport,
Which awards are presented by Swedish Academy,presented,,http://dbpedia.org/ontology/presenter,,1,0,presenter,
List the awards won by the fashion designer which have been recognized by Tennessee State Museum,awards,awards,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award,1,1,award,award
Which motion picture stories were edited by Ishir Honda,edited by,,http://dbpedia.org/ontology/writer,,2,0,writer,
Which rivers originate from Dowra,originate,,http://dbpedia.org/ontology/sourceMountain,,1,0,sourceMountain,
How many TV shows have been created by Simon Fuller,created,,http://dbpedia.org/property/creator,,1,0,creator,
Did Henry Ford design the Model C,design,,http://dbpedia.org/ontology/designCompany,,1,0,designCompany,
How many people are known for Dragons' Den,known for,,http://dbpedia.org/ontology/knownFor,,2,0,knownFor,
Greater Napanee is the home town of what people,home town,,http://dbpedia.org/ontology/hometown,,2,0,hometown,
In which state is the Channel district,district,,http://dbpedia.org/ontology/state,,1,0,state,
Name the religious affiliation of Vagif Aliyev,religious affiliation,,http://dbpedia.org/ontology/religion,,2,0,religion,
Count the number of characters of the play whose one of the character is Catwoman,characters,characters,http://dbpedia.org/property/characters,http://dbpedia.org/property/characters,1,1,characters,characters
Is Bacillus belong to the domain Bacteria,domain,,http://dbpedia.org/property/domain,,1,0,domain,
How many currencies are in used in places where people speak French,speak,currencies,http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/currency,1,1,officialLanguage,currency
"What political party has governed both in Baraily,MP and Jowai",governed,governed,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName,1,1,leaderName,leaderName
Which officers fought in the war of Siege of Fort Recovery,war,,http://dbpedia.org/ontology/battle,,1,0,battle,
How many writers speak a language belonging to the Germanic kind of languages,language,language,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/property/language,1,1,languageFamily,language
Was Duanne Allman known to play the Les Paul,known to play,,http://dbpedia.org/property/notableInstruments,,3,0,notableInstruments,
For which other teams do members of tanzanian national football team play,national team,teams,http://dbpedia.org/property/nationalteam,http://dbpedia.org/ontology/team,2,1,nationalteam,team
How many maintainers are there of the bridges that can carry motor vehicles over them,carry,maintainer,http://dbpedia.org/property/carries,http://dbpedia.org/ontology/maintainedBy,1,1,carries,maintainedBy
What is Jon Speelman famous for,famous,,http://dbpedia.org/ontology/field,,1,0,field,
What city is the residence of Cheryl Teigs,residence,,http://dbpedia.org/ontology/residence,,1,0,residence,
"Give me a count of everything under the archipelago, where Papeete is the biggest town.",biggest town,archipelago,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/property/archipelago,2,1,largestCity,archipelago
Name the nearest city to  Lake Victoria,nearest city,,http://dbpedia.org/ontology/nearestCity,,2,0,nearestCity,
Was A foreign policy on freedom covered by John Trumbull,covered,,http://dbpedia.org/property/coverArtist,,1,0,coverArtist,
Eric roth wrote how many screenplays,screenplay,,http://dbpedia.org/property/screenplay,,1,0,screenplay,
How many have been awarded by the Royal Society,awarded,,http://dbpedia.org/property/awards,,1,0,awards,
Who are the opponents of Gervase Helwys,opponent,,http://dbpedia.org/ontology/opponent,,1,0,opponent,
With whom is Heinz Kokott a relative to who also served Nazi Army,relative,,http://dbpedia.org/ontology/relation,,1,0,relation,
Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason,publisher,founded by,http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/founder,1,2,publisher,founder
Which television show's network  is BBC HD and is related to Doctor Who Confidential,network,related,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/related,1,1,network,related
What is the life stance of the ethnic groups related to Micronesia,related,life stance,http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/religion,1,2,related,religion
What is the magazine which have been  founded by Ralph J. Gleason,founded by,,http://dbpedia.org/ontology/founder,,2,0,founder,
Which river ends at  Thames Estuary and North Sea,river,river,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/riverMouth,1,1,riverMouth,riverMouth
Count the number of sports team members  which have player named Matt Williams,name,name,http://dbpedia.org/property/name,http://dbpedia.org/property/name,1,1,name,name
How many other awards have been given to people who have won the Golden Globe,awards,awards,http://dbpedia.org/ontology/award,http://dbpedia.org/property/awards,1,1,award,awards
Does Mr. Jim's Pizza operate in the pizza industry,industry,,http://dbpedia.org/ontology/industry,,1,0,industry,
How many other field are there of the scientists whose one of the field is Mathematics,field,field,http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/field,1,1,field,field
Who had  Joe Purcell and Winston Bryant as lieutenants,lieutenant,lieutenant,http://dbpedia.org/ontology/lieutenant,http://dbpedia.org/ontology/lieutenant,1,1,lieutenant,lieutenant
Did stan lee narrate the incredible hulk tv show,narrate,,http://dbpedia.org/ontology/narrator,,1,0,narrator,
How many sports are played in organizations presided by Emanuel de Guzman,presided,sport,http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/sport,1,1,president,sport
"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov",genre,sport,http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/sport,1,1,genre,sport
How many different genres of games are produced by Blizzard,produced,genre,http://dbpedia.org/ontology/developer,http://dbpedia.org/property/genre,1,1,developer,genre
Name the river flowing through Reading and source place as Gloucestershire,in,source place,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sourcePlace,1,2,city,sourcePlace
Who was in conflicts of Fort Barrancas and Gadsden,in conflict,in conflict,http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,2,2,battle,battle
What are some cars which came before the ones on a GM B base,base,before,http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/predecessor,1,1,automobilePlatform,predecessor
Name few companies founded in Texas,founded,,http://dbpedia.org/ontology/foundationPlace,,1,0,foundationPlace,
Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family,language family,language,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/property/languages,2,1,languageFamily,languages
Name all those whose spouses have performed with Tony Bennett,performed,spouse,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/spouse,1,1,associatedMusicalArtist,spouse
What are the books written by the the person who made the Novelas ejemplares,made,written by,http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/author,1,2,notableWork,author
Whos a famous relative of anne spielberg,relative,,http://dbpedia.org/ontology/relation,,1,0,relation,
Name the TV show whose network is NBC and is the subsequent work of Fraiser,network,subsequent work,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/subsequentWork,1,2,network,subsequentWork
Does chicago own the washington station on the CTA Blue Line,own,,http://dbpedia.org/property/owned,,1,0,owned,
Give the distinct number of other party of the people which have one of the party as Janata Party,other party,other party,http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/otherParty,2,2,otherParty,otherParty
"Count the units garrisoned at Arlington County, Virginia.",garrison,,http://dbpedia.org/ontology/garrison,,1,0,garrison,
List all the co-founders of the non for profit which have founding member as David pressman,co-founder,co-founder,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/ontology/foundedBy,1,1,foundedBy,foundedBy
how many companies are located in a spanish speaking region,speaking,located in,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location,1,2,language,location
What are some US citizens famous for,citizens,famous,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/knownFor,1,1,nationality,knownFor
Which genre of books are published by Random House,published,genre,http://dbpedia.org/property/publisher,http://dbpedia.org/property/subject,1,1,publisher,subject
How many golf players are there in Arizona State Sun Devils,in,,http://dbpedia.org/ontology/college,,1,0,college,
Which rivers start in Wyoming,start,,http://dbpedia.org/ontology/sourceRegion,,1,0,sourceRegion,
"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea",from,country,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/country,1,1,birthPlace,country
The Prime minister who worked in the Khmer Issarak follows which religion,worked,religion,http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/ontology/religion,1,1,militaryBranch,religion
Who coached the marquet golden eagels during 2013,coach,,http://dbpedia.org/ontology/coach,,1,0,coach,
Is Tea the main ingredient of Lahpet,main ingredient,,http://dbpedia.org/property/mainIngredient,,2,0,mainIngredient,
Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield,tenant,military branch,http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/militaryBranch,1,2,tenant,militaryBranch
How many destinations are covered by the airlines which also serves Europe,destinations,destinations,http://dbpedia.org/property/destinations,http://dbpedia.org/property/destinations,1,1,destinations,destinations
How many famous people are born in Long Island,born in,,http://dbpedia.org/ontology/birthPlace,,2,0,birthPlace,
List the newspapers whose offices are situated in 1211 Avenue of the Americas,offices,,http://dbpedia.org/ontology/headquarter,,1,0,headquarter,
What are the movies whose cinematographer is Gregg Toland,cinematographer,,http://dbpedia.org/ontology/cinematography,,1,0,cinematography,
Who is the person who are on the board of Freedom of the City,board,,http://dbpedia.org/ontology/board,,1,0,board,
Name the sitcoms whose network's owning company is Chris-Craft Industries,owning company,network,http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/network,2,1,owningCompany,network
How many developers have games where I can hear Lightning McQueen,hear,developer,http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/developer,1,1,voice,developer
List the ingredient of Blodpalt,ingredient,,http://dbpedia.org/ontology/ingredient,,1,0,ingredient,
Does Caroline Augusta Foley Rhys Davids study Buddhism,study,,http://dbpedia.org/ontology/field,,1,0,field,
Who is the performer of Bengali in Platforms,performer,,http://dbpedia.org/ontology/artist,,1,0,artist,
"In how many other states do people live, whose languages are spoken in Nebraska",language,states,http://dbpedia.org/ontology/language,http://dbpedia.org/property/region,1,1,language,region
What are some fictional characters whose voice is in the peanuts movie,voice,,http://dbpedia.org/ontology/voice,,1,0,voice,
What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905,tenant,tenant,http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/tenant,1,1,tenant,tenant
In how many places have Irishmen died,places,places,http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/deathPlace,1,1,birthPlace,deathPlace
List the stadium of the teams which uses Nea Smyrni  as one of the stadium,stadium,stadium,http://dbpedia.org/property/stadium,http://dbpedia.org/property/stadium,1,1,stadium,stadium
How many companies are located in Toronto,located,,http://dbpedia.org/ontology/locationCity,,1,0,locationCity,
